Model,D1 Acc,D1 Prec,D1 Rec,D1 F1,D2 Acc,D2 Prec,D2 Rec,D2 F1
Naïve Bayes,0.9567,0.9580,0.9567,0.9566,0.8583,0.8587,0.8583,0.8583
Logistic Regression,0.9825,0.9826,0.9825,0.9825,0.9333,0.9346,0.9333,0.9333
Support Vector Machine,0.9875,0.9877,0.9875,0.9875,0.9083,0.9084,0.9083,0.9083
BERT,0.9908,0.9909,0.9908,0.9908,0.9875,0.9877,0.9875,0.9875
DeBERTa,0.9933,0.9934,0.9933,0.9933,0.9992,0.9992,0.9992,0.9992
ENSEMBLE,0.9925,0.9926,0.9925,0.9925,0.9992,0.9992,0.9992,0.9992
