dataset,model,representation,accuracy,precision_w,recall_w,f1_weighted,f1_macro,roc_auc,pr_auc,fpr,fit_seconds
DAIGT V2,RandomForest,TF-IDF-s,0.9827093455272935,0.9829175391240433,0.9827093455272935,0.9827064322748961,0.9827048359722124,0.9976385736985138,0.99804410958297,0.0068201193520886615,7.26
DAIGT V2,SGD [log_loss],TF-IDF,0.9818519577022007,0.9820832023171984,0.9818519577022007,0.981848618214045,0.9818468834150031,0.9975387583079771,0.997994068126824,0.007104290991759022,0.08
DAIGT V2,RidgeClassifier,BoW,0.9694198342383538,0.9694962657741776,0.9694198342383538,0.9694197243365631,0.969419824247282,0.9930511498332748,0.9916701568384255,0.03665814151747655,19.12
DAIGT V2,AdaBoost,TF-IDF-s,0.9625607316376108,0.96256512144088,0.9625607316376108,0.9625609609928752,0.9625600435718173,0.9935246603234067,0.9944469117792106,0.03864734299516908,49.5
DAIGT V2,MultinomialNB,BoW,0.9591311803372392,0.960338155776489,0.9591311803372392,0.9590981000829996,0.9590907489153906,0.9918040292254889,0.9903575931565791,0.015061096902529127,0.01
DAIGT V2,ComplementNB,BoW,0.9591311803372392,0.960338155776489,0.9591311803372392,0.9590981000829996,0.9590907489153906,0.9918040292254889,0.9903575941731259,0.015061096902529127,0.01
DAIGT V2,ComplementNB,TF-IDF,0.9581308945412975,0.9582571818999983,0.9581308945412975,0.9581258997201906,0.9581225134007961,0.9914692147526495,0.992547628423351,0.03324808184143223,0.01
DAIGT V2,MultinomialNB,TF-IDF,0.9577022006287511,0.9578156234485387,0.9577022006287511,0.9576975564289677,0.9576942391434082,0.9914692147526495,0.992547628423351,0.03410059676044331,0.01
DAIGT V2,BernoulliNB,BoW,0.956987710774507,0.9574241206463904,0.956987710774507,0.9569734397755141,0.9569682027116636,0.9903258711118658,0.9894466701037049,0.027280477408354646,0.02
DAIGT V2,BernoulliNB,TF-IDF,0.956987710774507,0.9574241206463904,0.956987710774507,0.9569734397755141,0.9569682027116636,0.9903258711118658,0.9894466701037049,0.027280477408354646,0.01
DAIGT V2,MultinomialNB,char3-5,0.9544155472992284,0.9545237783556746,0.9544155472992284,0.9544106828328451,0.9544071450391121,0.9908918864545205,0.9919099599514573,0.03751065643648764,0.06
DAIGT V2,ComplementNB,char3-5,0.9544155472992284,0.9545319501313025,0.9544155472992284,0.9544103997689763,0.954406787467045,0.9908918864545205,0.9919099599514573,0.037226484796817276,0.06
DAIGT V2,MLP [sgd],TF-IDF-s,0.9396970563018006,0.9406030948515403,0.9396970563018006,0.9396576200629262,0.9396477610032077,0.9832867215063203,0.9861849363826003,0.037226484796817276,44.43
DAIGT V2,BernoulliNB,char3-5,0.9396970563018006,0.9415508703569637,0.9396970563018006,0.9396217037965184,0.9396084840587499,0.9809617253719205,0.9697837724865915,0.027564649048025008,0.39
DAIGT V2,DecisionTree [gini],TF-IDF-s,0.912403543869677,0.9124210223768529,0.912403543869677,0.9124006369736707,0.9123959859400608,0.9123802613513255,0.8765775250400102,0.08354646206308611,15.69
DAIGT V2,DecisionTree [entropy],TF-IDF-s,0.9044012575021435,0.9044180005637008,0.9044012575021435,0.9043980850495689,0.9043930091254496,0.9043777135267252,0.8659174525219226,0.0915032679738562,6.71
HC3,LinearSVC,char3-5,0.9890048453224003,0.9890746829164125,0.9890048453224003,0.989004588711009,0.9890046769211748,0.9994996151085814,0.9994926695405679,0.016923935279895854,0.94
HC3,RidgeClassifier,char3-5,0.9831345508758852,0.9834505333395249,0.9831345508758852,0.9831322435716627,0.9831326140876693,0.9988774680413358,0.9988354755571551,0.02957039241212572,3.93
HC3,LogReg [lbfgs],char3-5,0.9824822959373836,0.9827578199575032,0.9824822959373836,0.9824802321067144,0.9824805868276105,0.9986413411065251,0.9985659664232096,0.029384415101357635,2.34
HC3,LogReg [liblinear],char3-5,0.9822959373835259,0.9825977635017327,0.9822959373835259,0.9822936302021765,0.9822940089931443,0.9987219833690094,0.9986579964087289,0.03012832434442998,4.72
HC3,SGD [hinge],char3-5,0.9805255311218785,0.9810741575731053,0.9805255311218785,0.9805206639651528,0.980521255553263,0.9987194481040821,0.9986248067572455,0.03626557559977683,0.34
HC3,SGD [log_loss],char3-5,0.9754006708907939,0.9760246063302972,0.9754006708907939,0.9753935423001103,0.975394350696992,0.9970493683804189,0.9967767845760903,0.04258880416589176,0.38
HC3,LightGBM,TF-IDF-s,0.9652441297055535,0.9652600690831149,0.9652441297055535,0.9652440455134523,0.9652441052626853,0.9939907969883137,0.994046363015588,0.037567416775153434,16.49
HC3,LogReg [lbfgs],BoW,0.9550875885203131,0.9550913601655768,0.9550875885203131,0.9550873514298579,0.955087025430482,0.9865446370724843,0.9829611969148198,0.04333271340896411,4.56
HC3,LogReg [liblinear],BoW,0.9539694371971673,0.9539708379841784,0.9539694371971673,0.9539693093065168,0.9539690279470856,0.9866894250105969,0.9830582516843447,0.045006509205876885,2.64
HC3,ExtraTrees,TF-IDF-s,0.9479127841967946,0.9480930693103398,0.9479127841967946,0.9479086708079729,0.947909516551469,0.9878917830848165,0.9884448728792685,0.061930444485772736,19.25
HC3,LinearSVC,BoW,0.9475400670890793,0.9475502824629479,0.9475400670890793,0.9475400329283055,0.9475400629897865,0.9818156907546355,0.9792057231148862,0.05467732936581737,6.11
HC3,LinearSVC,TF-IDF,0.9449310473350727,0.9451599252865166,0.9449310473350727,0.944925319335036,0.9449263607895881,0.9863092220956325,0.9857153121481589,0.06620792263343872,0.16
HC3,ComplementNB,char3-5,0.9449310473350727,0.9467418714365357,0.9449310473350727,0.9448789908990196,0.9448823493787649,0.9817495654885847,0.9777756417635339,0.08666542681792822,0.05
HC3,MultinomialNB,char3-5,0.9448378680581438,0.9466589814663199,0.9448378680581438,0.9447854063905418,0.9447887811176975,0.9817495654885847,0.9777756417635339,0.0868514041286963,0.05
HC3,SGD [modified_huber],TF-IDF,0.9443719716734998,0.9443855671160342,0.9443719716734998,0.9443718736277974,0.9443719480072958,0.9862468823621445,0.9848466500330811,0.05821089827041101,0.09
HC3,RidgeClassifier,TF-IDF,0.940365262765561,0.9404803564799148,0.940365262765561,0.940362412850921,0.9403631418988521,0.9847444774202534,0.9844020454221064,0.06750976380881532,0.22
HC3,LogReg [liblinear],TF-IDF,0.9369176295191949,0.9369181293632979,0.9369176295191949,0.9369176760742336,0.9369174712320633,0.9838062904785,0.9835384996133024,0.06341826297191742,0.37
HC3,LogReg [saga],TF-IDF,0.9369176295191949,0.9369181293632979,0.9369176295191949,0.9369176760742336,0.9369174712320633,0.983807714394418,0.9835403081738727,0.06341826297191742,0.31
HC3,RandomForest,TF-IDF-s,0.9366380916884085,0.936763127552905,0.9366380916884085,0.9366347247452937,0.9366355477758328,0.9836290650411799,0.9842470602530874,0.07160126464571322,13.08
HC3,LogReg [lbfgs],TF-IDF,0.9365449124114796,0.9365449761366175,0.9365449124114796,0.9365448710906777,0.9365445680714648,0.9835008778788932,0.983246173334837,0.06304630835038125,3.54
HC3,SGD [hinge],TF-IDF,0.9364517331345509,0.9364521331557354,0.9364517331345509,0.9364516404399112,0.9364513005595656,0.9838456739090155,0.9836272947156963,0.06286033103961317,0.08
HC3,SGD [hinge],BoW,0.9337495341036154,0.9340542076913236,0.9337495341036154,0.9337359587778502,0.933733870266194,0.9785293796397736,0.9688929296486655,0.05281755625813651,0.24
HC3,SGD [log_loss],BoW,0.9333768169959001,0.9340051342798391,0.9333768169959001,0.9333498868868289,0.9333469968263433,0.980117375820206,0.9719863924752914,0.047424214245862004,0.23
HC3,PassiveAggressive,TF-IDF,0.927506522549385,0.9277095953165277,0.927506522549385,0.9274996588735015,0.9275009606051345,0.9790506544196005,0.9782408979013454,0.08313185791333458,0.16
HC3,SGD [log_loss],TF-IDF,0.9224748415952292,0.9225664016106471,0.9224748415952292,0.9224693485809842,0.922467838002067,0.9777552035010273,0.9779261851438771,0.06992746884880045,0.07
HC3,MLP [adam],TF-IDF-s,0.9106410734252702,0.9112133334439034,0.9106410734252702,0.9106137382976052,0.9106167602715179,0.9726910291734325,0.9720078673363752,0.10768086293472197,65.82
HC3,BernoulliNB,char3-5,0.9086843086097652,0.9088983561808287,0.9086843086097652,0.9086699524260115,0.9086674053611519,0.9500208985708225,0.9179092285186204,0.07959828900874093,0.23
HC3,BernoulliNB,BoW,0.8961051062243757,0.9010478202605564,0.8961051062243757,0.8957706455565321,0.8957583203727925,0.9690094424726681,0.9640517791229696,0.04816812348893435,0.01
HC3,BernoulliNB,TF-IDF,0.8961051062243757,0.9010478202605564,0.8961051062243757,0.8957706455565321,0.8957583203727925,0.9690094424726681,0.9640517791229696,0.04816812348893435,0.01
HC3,AdaBoost,TF-IDF-s,0.892005218039508,0.8938328221123241,0.892005218039508,0.8918711799984393,0.8918631450205006,0.9616286090407895,0.9624871386075488,0.07364701506416217,30.65
HC3,RidgeClassifier,BoW,0.8867871785314946,0.8877940101871938,0.8867871785314946,0.8867068340288004,0.8867004064685848,0.9455235816972626,0.9240613059180733,0.08740933606100056,4.84
HC3,ComplementNB,BoW,0.8714125978382408,0.8715747208438869,0.8714125978382408,0.8713952857043301,0.8713919447662071,0.9304885924365407,0.9437008763441027,0.11772363771619862,0.01
HC3,MultinomialNB,BoW,0.871319418561312,0.8714786143136001,0.871319418561312,0.8713023721632723,0.8712990533955124,0.9304886271661972,0.9437011279575892,0.11790961502696672,0.01
HC3,ComplementNB,TF-IDF,0.867312709653373,0.8699129630131044,0.867312709653373,0.8670924979262011,0.8671033118949463,0.9464744102339963,0.9478128215014149,0.17407476287892876,0.01
HC3,MultinomialNB,TF-IDF,0.8672195303764443,0.8698307930441415,0.8672195303764443,0.8669981520282373,0.867008999074252,0.9464744102339963,0.9478128215014149,0.17426074018969687,0.01
HC3,DecisionTree [entropy],TF-IDF-s,0.8616287737607157,0.8618191290657645,0.8616287737607157,0.8616143810702681,0.8616169979230768,0.8692790140667264,0.8212327502958832,0.1493397805467733,8.07
HC3,MLP [sgd],TF-IDF-s,0.8589265747297801,0.8602066073323598,0.8589265747297801,0.8587907606994031,0.8587814814799364,0.9344054725603588,0.9369770118386854,0.11084247721777943,61.55
HC3,DecisionTree [gini],TF-IDF-s,0.8544539694371972,0.8544587044148502,0.8544539694371972,0.8544527461689717,0.8544515229007463,0.8615803695478563,0.8153841277918147,0.14320252929142643,12.75
