dataset,model,raw_f1,cleaned_f1,delta
DAIGT V2,BERT,0.9916,0.9916,0.0
DAIGT V2,DeBERTa,0.9917,0.9917,0.0
HC3,BERT,0.9917,0.9917,0.0
HC3,DeBERTa,0.9973,0.9906,0.0067
