dataset,model,representation,kind,accuracy,f1_weighted,f1_macro,roc_auc,error_rate
HC3,SGD [log_loss],char3-5,classical,0.9754006708907939,0.9753935423001103,0.975394350696992,0.9970493683804189,0.024599329109206147
HC3,LightGBM,TF-IDF-s,classical,0.9652441297055535,0.9652440455134523,0.9652441052626853,0.9939907969883137,0.03475587029444649
HC3,LogReg [lbfgs],BoW,classical,0.9550875885203131,0.9550873514298579,0.955087025430482,0.9865446370724843,0.04491241147968694
HC3,LogReg [liblinear],BoW,classical,0.9539694371971673,0.9539693093065168,0.9539690279470856,0.9866894250105969,0.046030562802832686
HC3,ExtraTrees,TF-IDF-s,classical,0.9479127841967946,0.9479086708079729,0.947909516551469,0.9878917830848165,0.05208721580320541
HC3,LinearSVC,BoW,classical,0.9475400670890793,0.9475400329283055,0.9475400629897865,0.9818156907546355,0.05245993291092066
HC3,LinearSVC,TF-IDF,classical,0.9449310473350727,0.944925319335036,0.9449263607895881,0.9863092220956325,0.055068952664927284
HC3,ComplementNB,char3-5,classical,0.9449310473350727,0.9448789908990196,0.9448823493787649,0.9817495654885847,0.055068952664927284
HC3,MultinomialNB,char3-5,classical,0.9448378680581438,0.9447854063905418,0.9447887811176975,0.9817495654885847,0.05516213194185615
HC3,SGD [modified_huber],TF-IDF,classical,0.9443719716734998,0.9443718736277974,0.9443719480072958,0.9862468823621445,0.055628028326500156
HC3,RidgeClassifier,TF-IDF,classical,0.940365262765561,0.940362412850921,0.9403631418988521,0.9847444774202534,0.05963473723443902
HC3,LogReg [liblinear],TF-IDF,classical,0.9369176295191949,0.9369176760742336,0.9369174712320633,0.9838062904785,0.06308237048080512
HC3,LogReg [saga],TF-IDF,classical,0.9369176295191949,0.9369176760742336,0.9369174712320633,0.983807714394418,0.06308237048080512
HC3,RandomForest,TF-IDF-s,classical,0.9366380916884085,0.9366347247452937,0.9366355477758328,0.9836290650411799,0.0633619083115915
HC3,LogReg [lbfgs],TF-IDF,classical,0.9365449124114796,0.9365448710906777,0.9365445680714648,0.9835008778788932,0.06345508758852036
HC3,SGD [hinge],TF-IDF,classical,0.9364517331345509,0.9364516404399112,0.9364513005595656,0.9838456739090155,0.06354826686544912
HC3,SGD [hinge],BoW,classical,0.9337495341036154,0.9337359587778502,0.933733870266194,0.9785293796397736,0.06625046589638461
HC3,SGD [log_loss],BoW,classical,0.9333768169959001,0.9333498868868289,0.9333469968263433,0.980117375820206,0.06662318300409986
HC3,PassiveAggressive,TF-IDF,classical,0.927506522549385,0.9274996588735015,0.9275009606051345,0.9790506544196005,0.07249347745061496
HC3,SGD [log_loss],TF-IDF,classical,0.9224748415952292,0.9224693485809842,0.922467838002067,0.9777552035010273,0.07752515840477081
HC3,MLP [adam],TF-IDF-s,classical,0.9106410734252702,0.9106137382976052,0.9106167602715179,0.9726910291734325,0.08935892657472977
HC3,BernoulliNB,char3-5,classical,0.9086843086097652,0.9086699524260115,0.9086674053611519,0.9500208985708225,0.09131569139023477
